Unnamed: 0,SPX,ES_BID,ES_ASK,VIX
2025-04-01 20:15:21.924268,5630.32,5671.5,5672.0,21.77
2025-04-01 20:15:24.955344,5630.32,5671.5,5672.0,21.77
2025-04-01 20:15:27.986076,5630.695,5672.0,5672.25,21.77
2025-04-01 20:15:30.992653,5630.945,5672.25,5672.5,21.77
2025-04-01 20:15:34.026633,5631.195,5672.5,5672.75,21.77
2025-04-01 20:15:37.027853,5631.445,5672.75,5673.0,21.77
2025-04-01 20:15:40.069990,5631.695,5673.0,5673.25,21.77
2025-04-01 20:15:43.100238,5632.195,5673.5,5673.75,21.77
2025-04-01 20:15:46.130212,5632.445,5673.75,5674.0,21.77
2025-04-01 20:15:49.166803,5632.945,5674.25,5674.5,21.77
2025-04-01 20:15:52.196822,5633.695,5675.0,5675.25,21.77
2025-04-01 20:15:55.241506,5634.195,5675.5,5675.75,21.77
2025-04-01 20:15:58.250483,5632.695,5674.0,5674.25,21.77
2025-04-01 20:16:01.259304,5632.695,5674.0,5674.25,21.77
2025-04-01 20:16:04.306360,5633.32,5674.5,5675.0,21.77
2025-04-01 20:16:07.338508,5633.695,5675.0,5675.25,21.77
2025-04-01 20:16:10.373606,5633.195,5674.5,5674.75,21.77
2025-04-01 20:16:13.407106,5633.195,5674.5,5674.75,21.77
2025-04-01 20:16:16.440531,5632.445,5673.75,5674.0,21.77
2025-04-01 20:16:19.475825,5632.945,5674.25,5674.5,21.77
2025-04-01 20:16:22.515969,5632.695,5674.0,5674.25,21.77
2025-04-01 20:16:25.550508,5632.195,5673.5,5673.75,21.77
2025-04-01 20:16:28.588219,5631.445,5672.75,5673.0,21.77
2025-04-01 20:16:31.622329,5631.07,5672.25,5672.75,21.77
2025-04-01 20:16:34.656043,5631.195,5672.5,5672.75,21.77
2025-04-01 20:16:37.686380,5631.32,5672.5,5673.0,21.77
2025-04-01 20:16:40.718953,5631.945,5673.25,5673.5,21.77
2025-04-01 20:16:43.753409,5631.945,5673.25,5673.5,21.77
2025-04-01 20:16:46.777157,5632.07,5673.25,5673.75,21.77
2025-04-01 20:16:49.816647,5632.195,5673.5,5673.75,21.77
2025-04-01 20:16:52.846483,5632.32,5673.5,5674.0,21.77
2025-04-01 20:16:55.892405,5632.445,5673.75,5674.0,21.77
2025-04-01 20:16:58.915740,5632.195,5673.5,5673.75,21.77
2025-04-01 20:17:01.938514,5632.445,5673.75,5674.0,21.77
2025-04-01 20:17:04.967453,5632.945,5674.25,5674.5,21.77
2025-04-01 20:17:07.993921,5632.695,5674.0,5674.25,21.77
2025-04-01 20:17:11.024708,5632.32,5673.5,5674.0,21.77
2025-04-01 20:17:14.056439,5632.195,5673.5,5673.75,21.77
2025-04-01 20:17:17.084883,5632.195,5673.5,5673.75,21.77
2025-04-01 20:17:20.121909,5632.32,5673.5,5674.0,21.77
2025-04-01 20:17:23.152951,5632.195,5673.5,5673.75,21.77
2025-04-01 20:17:26.173423,5632.195,5673.5,5673.75,21.77
2025-04-01 20:17:29.204724,5632.07,5673.25,5673.75,21.77
2025-04-01 20:17:32.230607,5631.945,5673.25,5673.5,21.77
2025-04-01 20:17:35.269791,5631.945,5673.25,5673.5,21.77
2025-04-01 20:17:38.298225,5631.945,5673.25,5673.5,21.77
2025-04-01 20:17:41.322032,5631.695,5673.0,5673.25,21.77
2025-04-01 20:17:44.359110,5631.32,5672.5,5673.0,21.77
2025-04-01 20:17:47.393691,5630.945,5672.25,5672.5,21.77
2025-04-01 20:17:50.425921,5631.07,5672.25,5672.75,21.77
2025-04-01 20:17:53.458767,5631.195,5672.5,5672.75,21.77
2025-04-01 20:17:56.488205,5631.07,5672.25,5672.75,21.77
2025-04-01 20:17:59.519801,5631.195,5672.5,5672.75,21.77
2025-04-01 20:18:02.547690,5631.07,5672.25,5672.75,21.77
2025-04-01 20:18:05.570034,5630.945,5672.25,5672.5,21.77
2025-04-01 20:18:08.595165,5631.07,5672.25,5672.75,21.77
2025-04-01 20:18:11.623189,5630.82,5672.0,5672.5,21.77
2025-04-01 20:18:14.642146,5630.945,5672.25,5672.5,21.77
2025-04-01 20:18:17.665839,5630.695,5672.0,5672.25,21.77
2025-04-01 20:18:20.694795,5630.82,5672.0,5672.5,21.77
2025-04-01 20:18:23.740344,5630.945,5672.25,5672.5,21.77
2025-04-01 20:18:26.782622,5630.445,5671.75,5672.0,21.77
2025-04-01 20:18:29.823534,5630.945,5672.25,5672.5,21.77
2025-04-01 20:18:32.857206,5631.82,5673.0,5673.5,21.77
2025-04-01 20:18:35.883170,5631.695,5673.0,5673.25,21.77
2025-04-01 20:18:38.909862,5631.445,5672.75,5673.0,21.77
2025-04-01 20:18:41.936844,5631.445,5672.75,5673.0,21.77
2025-04-01 20:18:44.962731,5631.445,5672.75,5673.0,21.77
2025-04-01 20:18:47.991664,5631.195,5672.5,5672.75,21.77
2025-04-01 20:18:51.017288,5631.445,5672.75,5673.0,21.77
2025-04-01 20:18:54.046118,5631.195,5672.5,5672.75,21.77
2025-04-01 20:18:57.090296,5630.945,5672.25,5672.5,21.77
2025-04-01 20:19:00.135220,5631.195,5672.5,5672.75,21.77
2025-04-01 20:19:03.161663,5631.445,5672.75,5673.0,21.77
2025-04-01 20:19:06.193928,5630.945,5672.25,5672.5,21.77
2025-04-01 20:19:09.221105,5630.945,5672.25,5672.5,21.77
2025-04-01 20:19:12.242356,5631.07,5672.25,5672.75,21.77
2025-04-01 20:19:15.268936,5631.07,5672.25,5672.75,21.77
2025-04-01 20:19:18.295205,5630.695,5672.0,5672.25,21.77
2025-04-01 20:19:21.326624,5630.57,5671.75,5672.25,21.77
2025-04-01 20:19:24.355247,5630.945,5672.25,5672.5,21.77
2025-04-01 20:19:27.399189,5630.695,5672.0,5672.25,21.77
2025-04-01 20:19:30.423878,5630.945,5672.25,5672.5,21.77
2025-04-01 20:19:33.449594,5631.07,5672.25,5672.75,21.77
2025-04-01 20:19:36.472468,5630.82,5672.0,5672.5,21.77
2025-04-01 20:19:39.500471,5630.945,5672.25,5672.5,21.77
2025-04-01 20:19:42.528319,5631.195,5672.5,5672.75,21.77
2025-04-01 20:19:45.561796,5631.445,5672.75,5673.0,21.77
2025-04-01 20:19:48.587365,5631.07,5672.25,5672.75,21.77
2025-04-01 20:19:51.612308,5631.07,5672.25,5672.75,21.77
2025-04-01 20:19:54.636860,5631.195,5672.5,5672.75,21.77
