Unnamed: 0,SPX,ES_BID,ES_ASK,VIX
2025-04-01 09:31:21.491248,5590.32,5631.75,5632.0,22.66
2025-04-01 09:31:24.535800,5590.7,5631.75,5632.0,22.66
2025-04-01 09:31:27.582698,5589.06,5629.5,5629.75,22.66
2025-04-01 09:31:30.632772,5588.66,5630.5,5630.75,22.66
2025-04-01 09:31:33.638817,5588.82,5629.75,5630.0,22.69
2025-04-01 09:31:36.641137,5587.8,5629.5,5629.75,22.69
2025-04-01 09:31:39.691018,5587.44,5628.5,5628.75,22.69
2025-04-01 09:31:42.732406,5587.21,5628.5,5628.75,22.69
2025-04-01 09:31:45.779793,5585.95,5628.0,5628.25,22.69
2025-04-01 09:31:48.824360,5585.74,5627.75,5628.0,22.72
2025-04-01 09:31:51.862646,5585.64,5628.0,5628.25,22.72
2025-04-01 09:31:54.901809,5586.32,5629.25,5629.5,22.72
2025-04-01 09:31:57.947235,5587.04,5629.25,5629.5,22.72
2025-04-01 09:32:00.996421,5586.75,5628.75,5629.0,22.72
2025-04-01 09:32:04.044980,5587.17,5628.75,5629.0,22.74
2025-04-01 09:32:07.047996,5587.59,5630.75,5631.0,22.74
2025-04-01 09:32:10.049645,5587.81,5630.75,5631.0,22.74
2025-04-01 09:32:13.099161,5588.73,5630.75,5631.0,22.74
2025-04-01 09:32:16.147420,5588.17,5631.0,5631.25,22.74
2025-04-01 09:32:19.151134,5589.26,5632.0,5632.25,22.69
2025-04-01 09:32:22.200090,5590.22,5632.75,5633.0,22.69
2025-04-01 09:32:25.248337,5590.89,5633.0,5633.25,22.69
2025-04-01 09:32:28.292218,5591.66,5634.25,5634.5,22.69
2025-04-01 09:32:31.332767,5592.58,5636.0,5636.25,22.69
2025-04-01 09:32:34.374898,5592.67,5636.0,5636.25,22.59
2025-04-01 09:32:37.415837,5593.29,5636.75,5637.0,22.59
2025-04-01 09:32:40.454734,5593.89,5637.0,5637.25,22.59
2025-04-01 09:32:43.497082,5594.41,5636.5,5636.75,22.59
2025-04-01 09:32:46.539211,5594.28,5637.0,5637.25,22.55
2025-04-01 09:32:49.588868,5594.82,5637.25,5637.5,22.55
2025-04-01 09:32:52.638101,5593.97,5636.5,5636.75,22.55
2025-04-01 09:32:55.681379,5593.83,5635.75,5636.0,22.55
2025-04-01 09:32:58.727662,5593.29,5635.0,5635.25,22.55
2025-04-01 09:33:01.767754,5594.04,5637.0,5637.25,22.57
2025-04-01 09:33:04.810156,5594.42,5637.75,5638.0,22.57
2025-04-01 09:33:07.854617,5595.44,5640.0,5640.25,22.57
2025-04-01 09:33:10.895536,5596.82,5639.75,5640.0,22.57
2025-04-01 09:33:13.931695,5597.53,5640.0,5640.25,22.57
2025-04-01 09:33:16.969212,5597.66,5639.75,5640.0,22.48
2025-04-01 09:33:19.969448,5597.37,5639.5,5639.75,22.48
2025-04-01 09:33:23.011816,5596.56,5639.0,5639.25,22.48
2025-04-01 09:33:26.056461,5595.53,5639.25,5639.5,22.48
2025-04-01 09:33:29.064285,5597.22,5641.0,5641.25,22.48
2025-04-01 09:33:32.111760,5597.08,5641.0,5641.25,22.53
2025-04-01 09:33:35.154014,5597.77,5641.0,5641.25,22.53
2025-04-01 09:33:38.197453,5597.14,5639.5,5639.75,22.53
2025-04-01 09:33:41.201489,5596.94,5639.5,5639.75,22.53
2025-04-01 09:33:44.203589,5595.94,5638.25,5638.5,22.53
2025-04-01 09:33:47.246102,5595.44,5637.5,5637.75,22.57
2025-04-01 09:33:50.294127,5595.35,5638.0,5638.25,22.57
2025-04-01 09:33:53.337387,5593.31,5635.25,5635.5,22.57
2025-04-01 09:33:56.374279,5591.65,5634.0,5634.25,22.57
2025-04-01 09:33:59.411891,5590.86,5633.75,5634.0,22.57
2025-04-01 09:34:02.446380,5591.79,5634.75,5635.0,22.65
2025-04-01 09:34:05.493138,5591.51,5633.75,5634.0,22.65
2025-04-01 09:34:08.529839,5591.2,5634.75,5635.0,22.65
2025-04-01 09:34:11.568136,5591.47,5634.25,5634.5,22.65
2025-04-01 09:34:14.606395,5591.61,5634.0,5634.25,22.65
2025-04-01 09:34:17.651841,5591.25,5634.0,5634.25,22.65
2025-04-01 09:34:20.702369,5590.85,5632.75,5633.0,22.65
2025-04-01 09:34:23.703076,5590.31,5633.0,5633.25,22.65
2025-04-01 09:34:26.750357,5590.8,5634.0,5634.25,22.65
2025-04-01 09:34:29.788099,5591.46,5635.5,5635.75,22.65
2025-04-01 09:34:32.833248,5591.84,5635.0,5635.25,22.6
2025-04-01 09:34:35.837580,5591.98,5634.0,5634.25,22.6
2025-04-01 09:34:38.882004,5591.7,5633.5,5633.75,22.6
2025-04-01 09:34:41.924282,5591.23,5632.75,5633.0,22.6
2025-04-01 09:34:44.966315,5590.29,5633.0,5633.25,22.6
2025-04-01 09:34:48.006937,5590.18,5633.0,5633.25,22.64
2025-04-01 09:34:51.057539,5590.14,5633.25,5633.75,22.64
2025-04-01 09:34:54.107664,5589.05,5632.25,5632.5,22.64
2025-04-01 09:34:57.156405,5589.65,5633.0,5633.25,22.64
2025-04-01 09:35:00.203424,5589.55,5633.25,5633.5,22.64
2025-04-01 09:35:03.210407,5591.12,5634.5,5634.75,22.64
2025-04-01 09:35:06.254729,5590.94,5634.0,5634.25,22.64
2025-04-01 09:35:09.303165,5591.4,5634.75,5635.0,22.64
2025-04-01 09:35:12.350263,5591.33,5635.5,5635.75,22.64
2025-04-01 09:35:15.355084,5592.86,5636.5,5636.75,22.64
2025-04-01 09:35:18.402926,5593.43,5637.5,5637.75,22.57
2025-04-01 09:35:21.453408,5594.39,5637.75,5638.0,22.57
2025-04-01 09:35:24.498866,5594.7,5637.75,5638.0,22.57
2025-04-01 09:35:27.549038,5593.0,5634.5,5634.75,22.57
2025-04-01 09:35:30.599352,5591.84,5633.5,5633.75,22.57
2025-04-01 09:35:33.606601,5592.01,5634.5,5634.75,22.61
2025-04-01 09:35:36.607766,5591.41,5634.0,5634.25,22.61
2025-04-01 09:35:39.659025,5591.15,5632.75,5633.0,22.61
2025-04-01 09:35:42.702598,5590.92,5632.25,5632.5,22.61
2025-04-01 09:35:45.742657,5590.43,5631.0,5631.25,22.61
2025-04-01 09:35:48.781739,5588.87,5630.75,5631.0,22.65
2025-04-01 09:35:51.821442,5588.83,5630.0,5630.25,22.65
2025-04-01 09:35:54.867143,5588.78,5630.5,5630.75,22.65
2025-04-01 09:35:57.917708,5589.21,5630.25,5630.5,22.65
2025-04-01 09:36:00.960721,5588.5,5630.5,5631.0,22.65
2025-04-01 09:36:04.002431,5588.74,5630.5,5630.75,22.69
2025-04-01 09:36:07.002977,5588.59,5631.25,5631.5,22.69
2025-04-01 09:36:10.047219,5589.43,5631.25,5631.5,22.69
2025-04-01 09:36:13.088016,5588.76,5631.25,5631.5,22.69
2025-04-01 09:36:16.136251,5589.51,5632.0,5632.25,22.69
2025-04-01 09:36:19.152105,5589.82,5631.0,5631.25,22.65
2025-04-01 09:36:22.158141,5589.11,5631.0,5631.25,22.65
2025-04-01 09:36:25.160911,5588.66,5630.5,5630.75,22.65
2025-04-01 09:36:28.162396,5588.63,5630.5,5631.0,22.65
2025-04-01 09:36:31.165954,5589.03,5631.0,5631.25,22.65
2025-04-01 09:36:34.206142,5588.21,5629.25,5629.5,22.65
2025-04-01 09:36:37.251587,5587.8,5629.0,5629.5,22.65
2025-04-01 09:36:40.291111,5588.81,5631.0,5631.25,22.65
2025-04-01 09:36:43.331317,5588.26,5630.0,5630.25,22.65
2025-04-01 09:36:46.370534,5587.97,5629.75,5630.0,22.65
2025-04-01 09:36:49.411233,5587.49,5629.0,5629.25,22.68
2025-04-01 09:36:52.454478,5587.18,5629.75,5630.0,22.68
2025-04-01 09:36:55.500722,5588.33,5630.25,5630.5,22.68
2025-04-01 09:36:58.544179,5587.86,5630.0,5630.25,22.68
2025-04-01 09:37:01.594993,5588.17,5629.75,5630.0,22.67
2025-04-01 09:37:04.644530,5587.3,5629.0,5629.5,22.67
2025-04-01 09:37:07.692440,5586.22,5628.5,5628.75,22.67
2025-04-01 09:37:10.694649,5586.26,5628.5,5629.0,22.67
2025-04-01 09:37:13.736313,5586.03,5628.5,5628.75,22.67
2025-04-01 09:37:16.776979,5586.58,5629.25,5629.5,22.7
2025-04-01 09:37:19.816449,5586.12,5628.5,5628.75,22.7
2025-04-01 09:37:22.850957,5585.43,5628.25,5628.5,22.7
